"id","level","dispname","name"
"344","0","お菓子","お菓子"
"345","1","ケーキ","お菓子ケーキ"
"346","1","クッキー","お菓子クッキー"
"347","1","タルト","お菓子タルト"
"348","1","パイ","お菓子パイ"
"349","1","カップケーキ","お菓子カップケーキ"
"350","1","マフィン","お菓子マフィン"
"351","1","スコーン","お菓子スコーン"
"352","1","マドレーヌ","お菓子マドレーヌ"
"353","1","ドーナツ","お菓子ドーナツ"
"354","1","シュークリーム＆エクレア","お菓子シュークリーム＆エクレア"
"355","1","パンケーキ","お菓子パンケーキ"
"356","1","プリン","お菓子プリン"
"357","1","ゼリー＆寒天","お菓子ゼリー＆寒天"
"358","1","ムース＆ババロア","お菓子ムース＆ババロア"
"359","1","アイスクリーム","お菓子アイスクリーム"
"360","1","シャーベット","お菓子シャーベット"
"361","1","和菓子","お菓子和菓子"
"362","1","チョコレートのお菓子","お菓子チョコレートのお菓子"
"363","1","ヨーグルトのお菓子","お菓子ヨーグルトのお菓子"
"364","1","野菜のお菓子","お菓子野菜のお菓子"
"365","1","果物のお菓子","お菓子果物のお菓子"
"366","1","ホットケーキミックス","お菓子ホットケーキミックス"
"367","1","クリーム＆ソース","お菓子クリーム＆ソース"
"368","1","ジャム","お菓子ジャム"
"369","1","飲み物","お菓子飲み物"
"370","1","その他","お菓子その他"
"371","0","パン","パン"
"372","1","食パン","パン食パン"
"373","1","フランスパン","パンフランスパン"
"374","1","マフィン","パンマフィン"
"375","1","サンドイッチ","パンサンドイッチ"
"376","1","ハンバーガー","パンハンバーガー"
"377","1","ホットドッグ","パンホットドッグ"
"378","1","ピザ","パンピザ"
"379","1","肉まん","パン肉まん"
"380","1","手作りパン","パン手作りパン"
